Provincias	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2003	165480
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2002	165138
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2001	163885
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	2000	164991
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	1999	166259
05 Ávila	TOTAL EDADES	TOTAL	Ambos sexos	1998	167132
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2022	666971
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2021	669943
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2020	672137
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2019	673559
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2018	676376
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2017	679884
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2016	684113
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2015	686730
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2014	690929
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2013	693729
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2012	694533
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2011	693921
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2010	692137
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2009	688777
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2008	685246
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2007	678459
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2006	673474
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2005	671299
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2004	663896
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2003	663142
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2002	662808
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2001	664251
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	2000	661874
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	1999	664625
06 Badajoz	TOTAL EDADES	TOTAL	Ambos sexos	1998	663803
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2022	1176659
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2021	1173008
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2020	1171543
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2019	1149460
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2018	1128908
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2017	1115999
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2016	1107220
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2015	1104479
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2014	1103442
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2013	1111674
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2012	1119439
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2011	1113114
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2010	1106049
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2009	1095426
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2008	1072844
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2007	1030650
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2006	1001062
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2005	983131
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2004	955045
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2003	947361
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2002	916968
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2001	878627
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	2000	845630
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	1999	821820
07 Balears, Illes	TOTAL EDADES	TOTAL	Ambos sexos	1998	796483
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2022	5727615
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2021	5714730
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2020	5743402
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2019	5664579
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2018	5609350
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2017	5576037
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2016	5542680
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2015	5523922
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2014	5523784
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2013	5540925
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2012	5552050
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2011	5529099
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2010	5511147
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2009	5487935
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2008	5416447
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2007	5332513
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2006	5309404
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2005	5226354
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2004	5117885
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2003	5052666
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2002	4906117
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2001	4804606
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	2000	4736277
08 Barcelona	TOTAL EDADES	TOTAL	Ambos sexos	1999	4706325
